hodina,JE,PE,PSE +,VE,PVE,FVE,VTE,Saldo,Čerpání,Zatížení brutto
"",,,PPE,,,,,zahraničí,PVE,bez čerpání PVE
0:00,"3 153,0","6 194,0","751,0","136,0","0,0","0,0","7,0","-1 131,0","-461,0","8 649,0"
1:00,"3 154,0","6 224,0","763,0","136,0","0,0","0,0","8,0","-824,0","-651,0","8 810,0"
2:00,"3 154,0","6 191,0","758,0","136,0","0,0","0,0","9,0","-524,0","-960,0","8 764,0"
3:00,"3 153,0","6 107,0","754,0","136,0","0,0","0,0","9,0","-640,0","-874,0","8 645,0"
4:00,"3 150,0","6 192,0","752,0","136,0","0,0","0,0","10,0","-423,0","-1 034,0","8 783,0"
5:00,"3 149,0","6 365,0","1 059,0","135,0","0,0","0,0","10,0","-476,0","-937,0","9 305,0"
6:00,"3 149,0","6 573,0","1 363,0","142,0","91,0","0,0","8,0","-907,0","-19,0","10 400,0"
7:00,"3 151,0","6 507,0","1 660,0","155,0","287,0","1,0","6,0","-914,0","0,0","10 853,0"
8:00,"3 150,0","6 717,0","1 674,0","173,0","195,0","17,0","6,0","-975,0","0,0","10 957,0"
9:00,"3 150,0","6 966,0","1 737,0","168,0","147,0","88,0","6,0","-986,0","0,0","11 276,0"
10:00,"3 147,0","6 845,0","1 733,0","152,0","128,0","200,0","8,0","-1 225,0","0,0","10 988,0"
11:00,"3 149,0","6 780,0","1 688,0","147,0","73,0","308,0","8,0","-1 277,0","0,0","10 876,0"
12:00,"3 148,0","6 539,0","1 650,0","142,0","0,0","342,0","5,0","-924,0","0,0","10 902,0"
13:00,"3 148,0","6 474,0","1 665,0","140,0","41,0","300,0","4,0","-960,0","0,0","10 812,0"
14:00,"3 149,0","6 379,0","1 665,0","140,0","301,0","189,0","5,0","-982,0","0,0","10 846,0"
15:00,"3 146,0","6 418,0","1 661,0","148,0","573,0","68,0","6,0","-1 155,0","0,0","10 865,0"
16:00,"3 146,0","6 335,0","1 653,0","236,0","684,0","6,0","12,0","-1 214,0","0,0","10 858,0"
17:00,"3 146,0","6 469,0","1 662,0","397,0","506,0","1,0","14,0","-1 035,0","0,0","11 160,0"
