hodina,JE,PE,PSE +,VE,PVE,FVE,VTE,Saldo,Čerpání,Zatížení brutto
"",,,PPE,,,,,zahraničí,PVE,bez čerpání PVE
0:00,"3 194,0","7 258,0","1 486,0","182,0","0,0","0,0","10,0","-2 307,0","-527,0","9 296,0"
1:00,"3 193,0","7 248,0","1 482,0","182,0","0,0","0,0","5,0","-1 900,0","-836,0","9 374,0"
2:00,"3 194,0","7 254,0","1 460,0","182,0","0,0","0,0","3,0","-2 046,0","-721,0","9 326,0"
3:00,"3 193,0","7 264,0","1 445,0","182,0","0,0","0,0","3,0","-2 211,0","-610,0","9 266,0"
4:00,"3 194,0","7 237,0","1 502,0","182,0","0,0","0,0","2,0","-2 057,0","-697,0","9 363,0"
5:00,"3 193,0","7 195,0","1 477,0","194,0","0,0","0,0","2,0","-1 950,0","-303,0","9 808,0"
6:00,"3 194,0","7 386,0","1 536,0","218,0","0,0","0,0","1,0","-1 441,0","-5,0","10 889,0"
7:00,"3 195,0","7 647,0","1 600,0","491,0","208,0","0,0","2,0","-1 803,0","0,0","11 340,0"
8:00,"3 193,0","7 780,0","1 676,0","352,0","339,0","10,0","2,0","-1 858,0","0,0","11 494,0"
9:00,"3 193,0","7 859,0","1 688,0","364,0","401,0","56,0","2,0","-1 843,0","0,0","11 720,0"
10:00,"3 193,0","7 730,0","1 634,0","367,0","430,0","107,0","2,0","-1 705,0","0,0","11 758,0"
11:00,"3 191,0","7 645,0","1 620,0","386,0","200,0","147,0","2,0","-1 556,0","0,0","11 635,0"
12:00,"3 192,0","7 644,0","1 616,0","189,0","400,0","148,0","2,0","-1 423,0","0,0","11 768,0"
13:00,"3 194,0","7 642,0","1 625,0","180,0","159,0","128,0","4,0","-1 196,0","0,0","11 736,0"
14:00,"3 194,0","7 612,0","1 620,0","180,0","89,0","82,0","7,0","-1 160,0","0,0","11 624,0"
15:00,"3 193,0","7 652,0","1 642,0","180,0","0,0","33,0","9,0","-1 087,0","0,0","11 622,0"
16:00,"3 193,0","7 595,0","1 624,0","184,0","240,0","3,0","10,0","-1 379,0","0,0","11 470,0"
17:00,"3 192,0","7 674,0","1 664,0","445,0","340,0","0,0","7,0","-1 655,0","0,0","11 667,0"
18:00,"3 190,0","7 596,0","1 610,0","555,0","535,0","0,0","8,0","-2 052,0","0,0","11 442,0"
19:00,"3 192,0","7 645,0","1 623,0","404,0","464,0","0,0","8,0","-2 007,0","0,0","11 329,0"
20:00,"3 190,0","7 470,0","1 556,0","378,0","188,0","0,0","7,0","-1 785,0","0,0","11 004,0"
21:00,"3 189,0","7 406,0","1 540,0","297,0","3,0","0,0","8,0","-1 936,0","0,0","10 507,0"
22:00,"3 190,0","7 490,0","1 447,0","247,0","0,0","0,0","10,0","-2 369,0","0,0","10 015,0"
23:00,"3 190,0","7 521,0","1 527,0","256,0","0,0","0,0","10,0","-2 900,0","0,0","9 604,0"
hodina,JE,PE,PSE +,VE,PVE,FVE,VTE,Saldo,Čerpání,Zatížení brutto
"",,,PPE,,,,,zahraničí,PVE,bez čerpání PVE
0:00,"3 192,0","6 376,0","737,0","95,0","0,0","0,0","3,0","-746,0","-708,0","8 949,0"
1:00,"3 193,0","6 348,0","745,0","95,0","0,0","0,0","2,0","-234,0","-1 112,0","9 037,0"
2:00,"3 194,0","6 372,0","743,0","95,0","0,0","0,0","2,0","-340,0","-1 110,0","8 956,0"
3:00,"3 192,0","6 413,0","746,0","95,0","0,0","0,0","1,0","-478,0","-1 102,0","8 867,0"
4:00,"3 194,0","6 439,0","973,0","95,0","0,0","0,0","2,0","-610,0","-1 092,0","9 001,0"
5:00,"3 193,0","6 348,0","1 320,0","94,0","0,0","0,0","2,0","-556,0","-925,0","9 476,0"
6:00,"3 191,0","6 488,0","1 501,0","99,0","0,0","0,0","1,0","-738,0","-40,0","10 502,0"
7:00,"3 191,0","6 693,0","1 578,0","123,0","186,0","0,0","1,0","-814,0","0,0","10 958,0"
8:00,"3 192,0","6 701,0","1 564,0","181,0","343,0","4,0","1,0","-894,0","0,0","11 092,0"
9:00,"3 192,0","6 722,0","1 572,0","173,0","511,0","11,0","1,0","-945,0","0,0","11 237,0"
10:00,"3 190,0","6 847,0","1 572,0","165,0","371,0","21,0","1,0","-940,0","0,0","11 227,0"
11:00,"3 192,0","6 828,0","1 576,0","164,0","250,0","33,0","2,0","-951,0","0,0","11 094,0"
12:00,"3 195,0","6 708,0","1 576,0","99,0","69,0","43,0","3,0","-402,0","0,0","11 291,0"
13:00,"3 192,0","6 711,0","1 573,0","99,0","127,0","46,0","2,0","-521,0","0,0","11 229,0"
14:00,"3 192,0","6 821,0","1 565,0","97,0","202,0","33,0","2,0","-696,0","0,0","11 216,0"
15:00,"3 192,0","6 807,0","1 560,0","98,0","220,0","14,0","3,0","-749,0","0,0","11 145,0"
16:00,"3 194,0","6 625,0","1 555,0","102,0","70,0","2,0","3,0","-535,0","0,0","11 016,0"
17:00,"3 192,0","6 672,0","1 556,0","251,0","0,0","0,0","3,0","-338,0","0,0","11 336,0"
18:00,"3 190,0","6 723,0","1 558,0","257,0","209,0","0,0","6,0","-869,0","0,0","11 074,0"
19:00,"3 191,0","6 740,0","1 567,0","207,0","169,0","0,0","9,0","-921,0","0,0","10 962,0"
20:00,"3 187,0","6 553,0","1 031,0","144,0","121,0","0,0","10,0","-408,0","0,0","10 638,0"
21:00,"3 189,0","6 381,0","764,0","104,0","2,0","0,0","13,0","-356,0","0,0","10 097,0"
22:00,"3 189,0","6 401,0","736,0","102,0","0,0","0,0","13,0","-883,0","0,0","9 558,0"
23:00,"3 188,0","6 382,0","724,0","102,0","0,0","0,0","12,0","-1 259,0","-1,0","9 148,0"
hodina,JE,PE,PSE +,VE,PVE,FVE,VTE,Saldo,Čerpání,Zatížení brutto
"",,,PPE,,,,,zahraničí,PVE,bez čerpání PVE
0:00,"3 182,0","5 696,0","746,0","120,0","0,0","0,0","154,0","-1 121,0","-1 072,0","7 705,0"
1:00,"3 182,0","5 622,0","747,0","116,0","0,0","0,0","151,0","-988,0","-1 115,0","7 715,0"
2:00,"3 186,0","5 433,0","739,0","116,0","0,0","0,0","169,0","-932,0","-1 107,0","7 604,0"
3:00,"3 188,0","5 532,0","737,0","116,0","0,0","0,0","184,0","-1 146,0","-1 098,0","7 513,0"
4:00,"3 189,0","5 576,0","738,0","116,0","0,0","0,0","187,0","-1 353,0","-821,0","7 632,0"
5:00,"3 190,0","5 767,0","749,0","120,0","0,0","0,0","176,0","-1 556,0","-306,0","8 140,0"
6:00,"3 192,0","5 844,0","798,0","133,0","59,0","3,0","177,0","-1 075,0","-5,0","9 126,0"
7:00,"3 190,0","5 929,0","799,0","257,0","488,0","69,0","175,0","-1 348,0","0,0","9 559,0"
8:00,"3 190,0","6 019,0","799,0","260,0","519,0","161,0","169,0","-1 333,0","0,0","9 784,0"
9:00,"3 193,0","5 981,0","809,0","251,0","200,0","262,0","169,0","-943,0","0,0","9 922,0"
10:00,"3 191,0","6 041,0","805,0","138,0","278,0","330,0","174,0","-1 044,0","0,0","9 913,0"
11:00,"3 190,0","6 099,0","799,0","148,0","299,0","306,0","172,0","-1 063,0","0,0","9 950,0"
12:00,"3 190,0","6 044,0","798,0","139,0","151,0","338,0","172,0","-797,0","0,0","10 035,0"
13:00,"3 187,0","6 018,0","787,0","135,0","157,0","362,0","175,0","-804,0","0,0","10 017,0"
14:00,"3 186,0","6 016,0","952,0","135,0","0,0","305,0","188,0","-918,0","0,0","9 864,0"
15:00,"3 189,0","6 034,0","1 279,0","136,0","16,0","221,0","175,0","-1 315,0","0,0","9 735,0"
16:00,"3 187,0","6 062,0","1 574,0","326,0","7,0","128,0","153,0","-1 868,0","0,0","9 569,0"
17:00,"3 187,0","6 129,0","1 536,0","398,0","14,0","22,0","139,0","-1 939,0","0,0","9 486,0"
18:00,"3 190,0","6 135,0","1 537,0","495,0","518,0","1,0","134,0","-2 429,0","0,0","9 581,0"
19:00,"3 190,0","6 119,0","1 543,0","454,0","580,0","0,0","103,0","-2 447,0","0,0","9 542,0"
20:00,"3 191,0","6 075,0","1 532,0","471,0","510,0","0,0","90,0","-2 651,0","0,0","9 218,0"
21:00,"3 191,0","6 040,0","1 384,0","494,0","82,0","0,0","94,0","-2 576,0","0,0","8 709,0"
22:00,"3 193,0","5 951,0","950,0","424,0","59,0","0,0","103,0","-2 511,0","0,0","8 169,0"
23:00,"3 192,0","5 867,0","770,0","210,0","57,0","0,0","78,0","-2 396,0","0,0","7 778,0"
hodina,JE,PE,PSE +,VE,PVE,FVE,VTE,Saldo,Čerpání,Zatížení brutto
"",,,PPE,,,,,zahraničí,PVE,bez čerpání PVE
0:00,"3 665,0","5 636,0","734,0","105,0","0,0","0,0","92,0","-3 174,0","-1,0","7 057,0"
1:00,"3 665,0","5 582,0","737,0","105,0","0,0","0,0","84,0","-2 881,0","-311,0","6 981,0"
2:00,"3 667,0","5 482,0","730,0","105,0","0,0","0,0","85,0","-2 829,0","-315,0","6 925,0"
3:00,"3 668,0","5 629,0","734,0","105,0","0,0","0,0","79,0","-2 765,0","-603,0","6 847,0"
4:00,"3 670,0","5 514,0","721,0","104,0","0,0","0,0","75,0","-2 791,0","-526,0","6 767,0"
5:00,"3 670,0","5 536,0","720,0","108,0","0,0","0,0","68,0","-2 828,0","-527,0","6 747,0"
6:00,"3 671,0","5 628,0","734,0","119,0","0,0","0,0","61,0","-2 507,0","-934,0","6 772,0"
7:00,"3 672,0","5 577,0","756,0","121,0","0,0","9,0","74,0","-2 496,0","-933,0","6 780,0"
8:00,"3 673,0","5 463,0","751,0","120,0","0,0","51,0","78,0","-2 830,0","-522,0","6 784,0"
9:00,"3 676,0","5 585,0","759,0","110,0","0,0","227,0","80,0","-2 744,0","-411,0","7 282,0"
10:00,"3 673,0","5 554,0","764,0","113,0","0,0","428,0","69,0","-2 839,0","-187,0","7 575,0"
11:00,"3 671,0","5 586,0","776,0","114,0","89,0","563,0","77,0","-3 231,0","0,0","7 645,0"
12:00,"3 669,0","5 600,0","765,0","111,0","18,0","586,0","75,0","-3 211,0","0,0","7 613,0"
13:00,"3 666,0","5 737,0","749,0","109,0","0,0","478,0","70,0","-3 083,0","-50,0","7 676,0"
14:00,"3 664,0","5 704,0","736,0","109,0","60,0","272,0","66,0","-2 827,0","-1,0","7 783,0"
15:00,"3 665,0","5 846,0","741,0","110,0","133,0","74,0","59,0","-2 639,0","0,0","7 989,0"
16:00,"3 664,0","5 995,0","759,0","118,0","653,0","10,0","69,0","-3 037,0","0,0","8 231,0"
17:00,"3 662,0","5 999,0","787,0","122,0","681,0","0,0","76,0","-2 961,0","0,0","8 366,0"
18:00,"3 662,0","6 075,0","794,0","118,0","718,0","0,0","84,0","-3 110,0","0,0","8 341,0"
19:00,"3 664,0","6 099,0","801,0","119,0","593,0","0,0","102,0","-3 094,0","0,0","8 284,0"
20:00,"3 662,0","6 171,0","795,0","119,0","591,0","0,0","110,0","-3 223,0","0,0","8 225,0"
21:00,"3 663,0","6 158,0","773,0","113,0","70,0","0,0","116,0","-2 962,0","0,0","7 931,0"
22:00,"3 662,0","6 117,0","747,0","108,0","0,0","0,0","123,0","-2 853,0","-196,0","7 708,0"
23:00,"3 661,0","5 978,0","736,0","108,0","0,0","0,0","142,0","-3 012,0","-200,0","7 413,0"
hodina,JE,PE,PSE +,VE,PVE,FVE,VTE,Saldo,Čerpání,Zatížení brutto
"",,,PPE,,,,,zahraničí,PVE,bez čerpání PVE
0:00,"3 187,0","4 635,0","615,0","127,0","0,0","0,0","99,0","-1 063,0","-637,0","6 963,0"
1:00,"3 192,0","4 557,0","617,0","120,0","0,0","0,0","98,0","-813,0","-842,0","6 929,0"
2:00,"3 192,0","4 620,0","616,0","119,0","0,0","0,0","127,0","-699,0","-1 034,0","6 941,0"
3:00,"3 191,0","4 613,0","609,0","118,0","0,0","0,0","139,0","-691,0","-1 107,0","6 872,0"
4:00,"3 191,0","4 725,0","615,0","119,0","0,0","0,0","114,0","-845,0","-1 046,0","6 873,0"
5:00,"3 193,0","4 801,0","615,0","118,0","0,0","0,0","105,0","-928,0","-985,0","6 919,0"
6:00,"3 191,0","4 768,0","624,0","124,0","0,0","1,0","113,0","-1 228,0","-514,0","7 079,0"
7:00,"3 192,0","4 847,0","631,0","133,0","0,0","22,0","101,0","-1 595,0","-6,0","7 325,0"
8:00,"3 193,0","5 149,0","632,0","140,0","0,0","116,0","105,0","-1 587,0","0,0","7 748,0"
9:00,"3 191,0","5 370,0","639,0","188,0","0,0","236,0","106,0","-1 432,0","0,0","8 298,0"
10:00,"3 190,0","5 388,0","653,0","170,0","0,0","359,0","114,0","-1 282,0","0,0","8 592,0"
11:00,"3 193,0","5 427,0","663,0","161,0","0,0","467,0","100,0","-1 361,0","0,0","8 650,0"
12:00,"3 194,0","5 269,0","645,0","120,0","0,0","530,0","105,0","-1 360,0","0,0","8 503,0"
