hodina,JE,PE,PSE +,VE,PVE,FVE,VTE,Saldo,Čerpání,Zatížení brutto
"",,,PPE,,,,,zahraničí,PVE,bez čerpání PVE
0:00,3 003,4 965,468,135,0,0,92,-1 936,0,6 727
1:00,3 003,5 064,463,135,0,0,101,-2 047,-50,6 669
2:00,3 005,5 133,463,135,0,0,121,-2 003,-351,6 503
3:00,3 004,5 088,462,135,0,0,135,-2 045,-372,6 407
4:00,3 005,5 141,462,135,0,2,152,-2 139,-317,6 441
5:00,3 005,5 115,461,135,0,6,163,-2 231,-1,6 653
6:00,3 006,5 158,493,145,8,59,170,-1 439,0,7 600
7:00,3 008,5 274,505,363,8,193,176,-1 269,0,8 258
8:00,3 010,5 198,515,370,146,412,171,-1 248,0,8 574
9:00,3 006,5 233,488,282,70,591,158,-998,0,8 830
10:00,2 998,5 190,477,198,69,718,159,-963,0,8 846
11:00,2 997,5 246,472,193,12,715,181,-781,0,9 035
12:00,2 998,5 271,479,141,8,677,197,-695,0,9 076
13:00,2 994,5 228,474,135,50,647,189,-734,0,8 983
14:00,2 993,5 018,470,134,219,610,178,-865,0,8 757
15:00,2 993,4 974,475,145,281,552,156,-854,0,8 722
16:00,2 990,4 997,471,145,205,484,149,-811,0,8 630
17:00,2 988,5 044,475,173,194,377,146,-928,0,8 469
18:00,2 992,5 057,490,294,179,232,139,-1 189,0,8 194
19:00,2 991,5 153,500,400,271,95,140,-1 421,0,8 129
20:00,2 992,5 137,506,258,0,20,131,-1 106,0,7 938
21:00,2 994,5 084,502,257,0,2,131,-1 156,0,7 814
22:00,2 998,5 076,468,139,81,0,155,-1 402,0,7 515
23:00,3 004,5 054,466,136,80,0,146,-1 771,0,7 115
hodina,JE,PE,PSE +,VE,PVE,FVE,VTE,Saldo,Čerpání,Zatížení brutto
"",,,PPE,,,,,zahraničí,PVE,bez čerpání PVE
0:00,2 989,5 170,1 133,128,0,0,31,-2 333,-2,7 116
1:00,2 994,5 172,1 141,124,0,0,25,-2 323,-162,6 971
2:00,2 998,5 159,1 136,124,0,0,20,-2 281,-380,6 776
3:00,3 001,5 150,1 151,124,0,0,20,-2 381,-380,6 685
