hodina,JE,PE,PSE +,VE,PVE,FVE,VTE,Saldo,Čerpání,Zatížení brutto
"",,,PPE,,,,,zahraničí,PVE,bez čerpání PVE
0:00,3 099,5 050,577,354,41,0,102,-1 621,0,7 602
1:00,3 102,5 109,579,320,1,0,97,-1 403,-120,7 685
2:00,3 103,5 120,580,265,0,0,93,-955,-660,7 546
3:00,3 103,4 962,578,263,0,0,91,-863,-672,7 462
4:00,3 103,5 064,576,263,0,0,87,-1 124,-372,7 597
5:00,3 104,5 177,725,364,11,5,83,-1 349,-18,8 102
6:00,3 103,5 340,1 099,501,337,18,81,-1 361,-1,9 117
7:00,3 103,5 388,1 261,696,531,126,79,-1 515,0,9 669
8:00,3 105,5 472,1 118,693,583,313,78,-1 466,0,9 896
9:00,3 102,5 422,1 135,668,583,540,83,-1 497,0,10 036
10:00,3 099,5 400,1 074,553,370,674,84,-1 349,0,9 905
11:00,3 099,5 363,1 147,496,166,759,79,-1 275,0,9 834
12:00,3 098,5 375,1 235,333,0,736,77,-871,-106,9 877
13:00,3 095,5 535,1 074,234,101,636,77,-883,0,9 869
14:00,3 093,5 381,1 194,233,138,550,76,-1 061,0,9 604
15:00,3 093,5 464,1 397,231,0,412,80,-735,-251,9 691
16:00,3 092,5 524,1 349,233,25,267,79,-983,-1,9 585
17:00,3 089,5 752,1 411,331,0,147,77,-1 238,-47,9 522
18:00,3 090,5 685,1 401,493,0,61,76,-1 413,-52,9 341
19:00,3 093,5 665,1 365,569,0,10,70,-1 382,-2,9 388
20:00,3 093,5 639,1 402,532,0,3,71,-1 558,0,9 182
21:00,3 095,5 560,1 384,460,0,0,74,-1 977,0,8 596
22:00,3 096,5 483,1 339,440,0,0,73,-2 345,0,8 086
23:00,3 095,5 310,1 162,396,0,0,69,-2 296,-48,7 688
hodina,JE,PE,PSE +,VE,PVE,FVE,VTE,Saldo,Čerpání,Zatížení brutto
"",,,PPE,,,,,zahraničí,PVE,bez čerpání PVE
0:00,4 153,4 441,589,183,0,0,183,-1 848,-306,7 395
1:00,4 154,4 442,599,181,0,0,182,-1 828,-308,7 422
2:00,4 154,4 458,599,180,0,0,149,-1 966,-307,7 267
3:00,4 150,4 482,595,181,0,0,114,-1 842,-520,7 160
4:00,4 152,4 421,592,182,0,7,112,-1 861,-304,7 301
5:00,4 155,4 381,587,186,0,12,127,-1 774,-5,7 669
6:00,4 154,4 803,641,235,0,44,143,-1 309,0,8 711
7:00,4 152,4 891,666,457,152,107,156,-1 258,0,9 323
8:00,4 121,4 971,657,467,326,177,147,-1 307,0,9 559
9:00,4 119,4 881,647,344,216,237,154,-873,0,9 725
10:00,4 118,4 786,625,308,179,266,159,-734,0,9 707
11:00,4 119,4 838,616,191,204,270,147,-690,0,9 695
12:00,4 119,4 781,614,188,601,249,153,-909,0,9 796
13:00,4 118,4 771,599,196,633,237,164,-881,0,9 837
14:00,4 119,4 892,612,194,350,212,172,-918,0,9 633
15:00,4 119,4 999,625,187,325,173,168,-894,0,9 702
16:00,4 116,4 955,628,189,212,132,174,-773,0,9 633
17:00,4 118,5 005,638,198,141,92,166,-763,0,9 595
18:00,4 139,5 002,661,319,26,49,159,-1 015,0,9 340
19:00,4 145,5 019,670,480,174,21,144,-1 311,0,9 342
20:00,4 149,4 805,671,479,193,12,132,-1 329,0,9 112
21:00,4 149,4 827,660,266,150,5,123,-1 479,0,8 701
22:00,4 145,4 647,598,258,91,0,113,-1 567,0,8 285
23:00,4 145,4 404,587,260,151,0,108,-1 831,0,7 824
hodina,JE,PE,PSE +,VE,PVE,FVE,VTE,Saldo,Čerpání,Zatížení brutto
"",,,PPE,,,,,zahraničí,PVE,bez čerpání PVE
0:00,2 485,4 129,1 300,137,0,0,59,-813,-246,7 051
1:00,2 490,4 205,1 306,136,0,0,53,-662,-571,6 957
2:00,2 493,4 177,1 310,145,0,0,54,-843,-581,6 755
3:00,2 496,4 031,1 295,136,0,2,48,-740,-619,6 649
4:00,2 498,4 017,1 306,135,0,27,42,-871,-483,6 671
5:00,2 503,4 054,1 308,136,0,42,37,-669,-454,6 957
6:00,2 506,4 432,1 336,209,219,120,38,-848,0,8 012
7:00,2 504,4 554,1 329,272,442,357,27,-854,0,8 631
8:00,2 498,4 558,1 330,243,519,693,19,-865,0,8 995
9:00,2 495,4 507,1 317,139,474,1 001,27,-738,0,9 222
10:00,2 492,4 474,1 280,127,43,1 225,34,-426,0,9 249
11:00,2 492,4 525,1 286,129,47,1 362,34,-469,0,9 406
12:00,2 490,4 316,1 266,127,33,1 418,43,-210,0,9 483
13:00,2 487,4 516,1 269,123,93,1 410,44,-525,0,9 417
14:00,2 485,4 297,1 249,124,67,1 335,41,-349,0,9 249
15:00,2 482,4 303,1 245,122,59,1 178,45,-231,0,9 203
16:00,2 480,4 149,1 235,121,46,945,43,73,0,9 092
17:00,2 479,4 093,1 233,127,100,650,44,198,0,8 924
18:00,2 478,4 188,1 249,165,162,322,44,104,0,8 712
19:00,2 478,4 382,1 279,263,324,120,42,-233,0,8 655
20:00,2 477,4 470,1 282,267,318,51,49,-395,0,8 519
21:00,2 477,4 280,1 275,177,59,28,75,-42,0,8 329
22:00,2 477,4 258,1 266,174,0,4,89,-170,0,8 098
23:00,2 478,4 319,1 265,172,0,0,101,-697,0,7 638
hodina,JE,PE,PSE +,VE,PVE,FVE,VTE,Saldo,Čerpání,Zatížení brutto
"",,,PPE,,,,,zahraničí,PVE,bez čerpání PVE
0:00,3 054,3 612,634,285,4,0,40,-1 892,0,5 737
1:00,3 059,3 326,625,229,0,0,42,-1 661,0,5 620
2:00,3 063,3 285,627,228,0,0,43,-1 597,0,5 649
3:00,3 068,3 263,625,230,0,0,44,-1 558,0,5 672
4:00,3 071,3 346,631,230,0,0,38,-1 425,-224,5 667
5:00,3 072,3 318,629,234,0,4,32,-1 544,-114,5 631
6:00,3 075,3 346,655,194,0,63,39,-1 551,-114,5 707
7:00,3 077,3 316,665,217,0,325,53,-1 520,0,6 133
8:00,3 072,3 377,674,268,0,757,52,-1 774,0,6 426
9:00,3 062,3 203,649,204,0,1 145,69,-1 829,0,6 503
