Hodina,JE,PE,PPE,PSE,VE,PVE,FVE,VTE,Přeshraniční saldo,Čerpání PVE,TVSe,Zatížení brutto,Zatížení (bez TVSe),Spotřeba brutto
"",[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MWh]
0:00,2 994,3 361,908,343,355,0,0,98,-1 611,0,-565,6 449,5 884,6 449
1:00,2 998,3 315,912,346,432,0,0,98,-1 197,-524,-561,6 379,5 818,6 379
2:00,3 000,3 226,913,347,322,0,0,71,-950,-742,-551,6 186,5 635,6 186
3:00,3 006,3 291,927,346,348,0,0,59,-1 154,-739,-558,6 085,5 526,6 085
4:00,3 012,3 252,922,344,302,0,4,57,-1 092,-734,-554,6 067,5 513,6 067
5:00,3 013,3 247,893,346,258,0,14,50,-830,-729,-553,6 263,5 709,6 263
6:00,3 009,3 355,915,376,361,252,84,52,-904,-211,-571,7 290,6 719,7 290
7:00,3 009,3 403,909,394,293,227,281,47,-728,0,-578,7 836,7 258,7 836
8:00,3 006,3 417,904,392,333,276,590,32,-766,0,-583,8 185,7 603,8 185
9:00,2 997,3 419,871,378,531,125,880,26,-706,-2,-583,8 518,7 935,8 518
10:00,2 991,3 382,865,361,606,313,1 044,34,-972,0,-582,8 623,8 041,8 623
11:00,2 987,3 317,856,336,600,210,1 088,25,-643,0,-572,8 777,8 205,8 777
12:00,2 982,3 322,863,345,520,100,1 047,23,-175,0,-570,9 029,8 459,9 029
13:00,2 979,3 335,870,348,464,89,965,24,-385,0,-571,8 690,8 119,8 690
14:00,2 975,3 311,906,356,405,15,752,21,-328,0,-566,8 413,7 847,8 413
15:00,2 974,3 303,976,357,390,190,450,19,-285,0,-565,8 376,7 811,8 376
16:00,2 984,3 177,1 010,355,428,285,377,30,-366,0,-554,8 279,7 725,8 279
17:00,2 993,3 180,1 024,355,546,123,319,35,-404,0,-553,8 170,7 617,8 170
18:00,2 993,3 162,1 047,372,561,0,246,47,-508,0,-551,7 920,7 369,7 920
19:00,3 000,3 263,1 019,385,577,243,117,45,-897,0,-565,7 751,7 187,7 751
