Hodina,JE,PE,PPE,PSE,VE,PVE,FVE,VTE,Přeshraniční saldo,Čerpání PVE,TVSe,Zatížení brutto,Zatížení (bez TVSe),Spotřeba brutto
"",[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MWh]
0:00,3 693,4 558,275,403,167,0,0,203,-1 618,-355,-647,7 326,6 680,7 326
1:00,3 692,4 521,280,404,164,0,0,198,-1 075,-806,-643,7 378,6 735,7 378
2:00,3 693,4 188,284,398,163,0,0,212,-808,-943,-613,7 188,6 575,7 188
3:00,3 691,4 147,285,398,164,0,0,208,-848,-934,-609,7 110,6 501,7 110
4:00,3 689,4 521,285,399,164,0,0,230,-1 075,-925,-643,7 289,6 645,7 289
5:00,3 690,4 730,287,402,171,0,0,238,-1 445,-282,-663,7 792,7 129,7 792
6:00,3 692,4 879,289,479,266,0,1,228,-918,0,-682,8 917,8 236,8 917
7:00,3 689,4 953,295,491,271,335,4,236,-802,0,-694,9 472,8 778,9 472
8:00,3 683,4 992,319,491,310,593,17,236,-876,0,-701,9 765,9 064,9 765
9:00,3 687,4 971,323,507,335,241,55,227,-332,0,-696,10 013,9 317,10 013
10:00,3 689,4 935,320,498,297,281,84,221,-274,0,-693,10 050,9 357,10 050
11:00,3 688,4 905,318,499,290,241,109,216,-119,0,-690,10 148,9 458,10 148
12:00,3 688,4 845,317,489,263,282,122,205,-80,0,-684,10 131,9 447,10 131
13:00,3 689,4 779,318,468,232,241,119,214,-17,0,-676,10 041,9 365,10 041
14:00,3 687,4 699,329,464,318,251,96,203,-184,0,-669,9 863,9 193,9 863
15:00,3 688,4 754,343,477,277,357,68,191,-245,0,-676,9 910,9 234,9 910
16:00,3 688,4 869,377,488,215,292,38,185,-409,0,-686,9 743,9 056,9 743
17:00,3 686,4 934,429,516,228,189,8,173,-498,0,-693,9 666,8 973,9 666
18:00,3 687,5 014,418,555,243,280,3,159,-655,0,-704,9 705,9 002,9 705
19:00,3 688,4 921,396,546,225,213,0,152,-522,0,-693,9 620,8 927,9 620
20:00,3 684,4 832,302,505,209,149,0,138,-716,0,-679,9 103,8 424,9 103
21:00,3 685,4 677,309,483,267,24,0,118,-962,0,-662,8 599,7 937,8 599
22:00,3 687,4 702,303,426,272,0,0,107,-1 293,0,-661,8 204,7 543,8 204
23:00,3 685,4 596,296,415,213,0,0,85,-1 498,0,-650,7 792,7 142,7 792
Hodina,JE,PE,PPE,PSE,VE,PVE,FVE,VTE,Přeshraniční saldo,Čerpání PVE,TVSe,Zatížení brutto,Zatížení (bez TVSe),Spotřeba brutto
"",[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MWh]
0:00,3 367,5 771,1 176,411,141,0,0,77,-1 529,-1 041,-726,8 373,7 647,8 373
1:00,3 372,5 759,1 170,408,141,0,0,78,-1 464,-1 057,-725,8 409,7 684,8 409
2:00,3 377,5 660,1 163,407,141,0,0,79,-1 468,-1 049,-716,8 310,7 593,8 310
3:00,3 392,5 671,1 094,410,142,0,0,78,-1 527,-1 003,-717,8 257,7 540,8 257
4:00,3 414,5 858,1 122,414,141,0,0,75,-1 521,-1 029,-735,8 474,7 739,8 474
5:00,3 466,6 000,1 176,417,140,0,0,74,-1 529,-761,-752,8 984,8 232,8 984
