Hodina,JE,PE,PPE,PSE,VE,PVE,FVE,VTE,Přeshraniční saldo,Čerpání PVE,TVSe,Zatížení brutto,Zatížení (bez TVSe),Spotřeba brutto
"",[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MWh]
0:00,3 690,5 919,1 121,441,119,0,0,49,-1 470,-923,-744,8 947,8 203,8 947
1:00,3 691,5 938,1 125,436,119,0,0,65,-1 271,-1 114,-745,8 989,8 244,8 989
2:00,3 691,5 891,1 123,442,119,0,0,98,-1 373,-1 108,-742,8 884,8 142,8 884
3:00,3 690,5 861,1 125,440,121,0,0,107,-1 415,-1 100,-739,8 828,8 089,8 828
4:00,3 690,5 825,1 120,444,120,0,0,106,-1 261,-1 038,-736,9 006,8 269,9 006
5:00,3 692,5 756,1 128,449,119,0,0,109,-1 468,-189,-731,9 595,8 865,9 595
6:00,3 694,6 188,1 131,498,131,220,1,137,-1 199,0,-774,10 799,10 025,10 799
7:00,3 693,6 368,1 152,508,145,357,10,130,-998,0,-792,11 365,10 573,11 365
8:00,3 693,6 426,1 150,510,143,811,37,100,-1 430,0,-803,11 442,10 639,11 442
9:00,3 697,6 627,1 160,509,130,703,159,132,-1 469,0,-821,11 649,10 828,11 649
10:00,3 696,6 559,1 127,520,126,499,364,137,-1 568,0,-816,11 459,10 644,11 459
11:00,3 693,6 507,1 131,521,174,357,561,92,-1 775,0,-812,11 260,10 448,11 260
12:00,3 691,6 422,1 122,520,289,321,711,91,-1 896,0,-807,11 271,10 463,11 271
13:00,3 689,6 411,1 109,508,261,32,658,82,-1 495,0,-801,11 255,10 455,11 255
14:00,3 687,5 927,1 116,535,130,548,423,79,-1 454,0,-763,10 991,10 228,10 991
15:00,3 684,5 984,1 126,563,123,543,153,84,-1 107,0,-765,11 154,10 389,11 154
16:00,3 575,6 092,1 153,560,141,209,23,71,-738,0,-762,11 086,10 324,11 086
17:00,2 599,6 394,1 261,691,444,292,4,60,-512,0,-746,11 232,10 486,11 232
18:00,2 597,6 155,1 160,532,172,10,0,47,278,0,-710,10 951,10 241,10 951
19:00,2 598,6 105,1 111,522,135,0,0,56,343,0,-704,10 870,10 166,10 870
20:00,2 598,6 281,1 089,531,123,0,0,47,-166,0,-719,10 505,9 785,10 505
21:00,2 599,6 527,1 101,531,125,0,0,36,-861,-49,-740,10 011,9 271,10 011
22:00,2 598,6 637,1 115,488,119,0,0,37,-1 322,-112,-747,9 560,8 813,9 560
23:00,2 598,6 397,1 104,477,118,0,0,33,-1 351,-327,-726,9 049,8 323,9 049
Hodina,JE,PE,PPE,PSE,VE,PVE,FVE,VTE,Přeshraniční saldo,Čerpání PVE,TVSe,Zatížení brutto,Zatížení (bez TVSe),Spotřeba brutto
"",[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MWh]
0:00,3 176,5 541,1 099,434,174,0,0,160,-1 225,-880,-708,8 480,7 771,8 480
1:00,3 177,5 560,1 101,440,173,0,0,173,-982,-1 108,-711,8 535,7 824,8 535
2:00,3 177,5 606,1 102,443,172,0,0,163,-1 123,-1 103,-715,8 436,7 721,8 436
3:00,3 174,5 607,1 100,442,171,0,0,144,-1 163,-1 096,-715,8 379,7 664,8 379
4:00,3 177,5 684,1 101,443,170,0,0,127,-1 055,-1 086,-721,8 560,7 838,8 560
5:00,3 177,5 767,1 104,451,167,0,0,142,-890,-780,-730,9 137,8 408,9 137
6:00,3 175,6 053,1 114,504,173,38,5,131,-842,-5,-759,10 346,9 587,10 346
