Hodina,JE,PE,PPE,PSE,VE,PVE,FVE,VTE,Přeshraniční saldo,Čerpání PVE,TVSe,Zatížení brutto,Zatížení (bez TVSe),Spotřeba brutto
"",[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MWh]
0:00,2 619,4 017,315,428,209,86,0,170,75,0,-545,7 918,7 374,7 918
1:00,2 641,3 974,312,426,209,0,0,184,1 256,-995,-541,8 008,7 467,8 008
2:00,2 691,3 881,314,425,209,0,0,187,1 252,-1 063,-535,7 897,7 362,7 897
3:00,2 701,3 921,316,427,210,0,0,198,1 116,-1 055,-540,7 835,7 295,7 835
4:00,2 712,3 969,318,432,208,0,0,203,1 136,-1 018,-545,7 959,7 414,7 959
5:00,2 711,4 082,618,441,215,0,2,196,205,-20,-560,8 450,7 889,8 450
6:00,2 711,4 627,1 111,507,227,7,5,185,3,0,-621,9 383,8 762,9 383
7:00,2 726,4 815,1 203,533,469,531,65,178,-595,0,-651,9 926,9 274,9 926
8:00,2 724,4 853,1 180,529,471,732,255,167,-838,0,-658,10 074,9 416,10 074
9:00,2 725,4 791,1 144,523,329,436,461,170,-310,0,-648,10 269,9 621,10 269
10:00,2 726,4 736,1 123,525,226,15,598,163,164,0,-638,10 278,9 640,10 278
11:00,2 720,4 782,1 103,517,216,0,684,153,84,0,-641,10 260,9 619,10 260
12:00,2 753,4 566,1 093,492,215,0,871,146,52,0,-623,10 188,9 566,10 188
13:00,2 755,4 398,1 157,458,263,0,994,140,70,-85,-608,10 149,9 541,10 149
14:00,2 754,4 174,940,471,209,129,1 003,119,-106,0,-586,9 692,9 106,9 692
15:00,2 742,4 080,1 128,466,207,0,877,123,81,0,-577,9 703,9 126,9 703
16:00,2 754,4 326,1 048,459,205,0,610,114,53,0,-596,9 570,8 973,9 570
17:00,2 759,4 505,1 085,496,306,8,360,88,-74,0,-614,9 533,8 918,9 533
18:00,2 774,4 566,1 094,517,329,70,128,59,-243,0,-621,9 294,8 674,9 294
19:00,2 789,4 612,1 126,523,438,621,15,39,-704,0,-634,9 458,8 824,9 458
20:00,2 843,4 716,1 168,522,435,496,1,36,-727,0,-645,9 490,8 845,9 490
21:00,2 848,4 698,1 150,508,367,190,0,36,-697,0,-638,9 100,8 462,9 100
22:00,2 862,4 669,1 140,446,313,60,0,37,-780,0,-630,8 746,8 116,8 746
23:00,2 916,4 545,1 007,426,213,0,0,41,-808,0,-617,8 342,7 724,8 342
Hodina,JE,PE,PPE,PSE,VE,PVE,FVE,VTE,Přeshraniční saldo,Čerpání PVE,TVSe,Zatížení brutto,Zatížení (bez TVSe),Spotřeba brutto
"",[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MWh]
0:00,3 051,3 449,262,383,237,0,0,201,-281,-226,-538,7 076,6 538,7 076
1:00,3 051,3 588,261,383,234,0,0,174,472,-1 022,-551,7 141,6 589,7 141
2:00,3 053,3 534,255,384,232,0,0,139,483,-1 046,-546,7 033,6 488,7 033
3:00,3 053,3 520,254,380,194,0,0,115,440,-1 035,-544,6 922,6 378,6 922
4:00,3 054,3 590,254,378,196,0,0,103,194,-728,-550,7 043,6 492,7 043
5:00,3 058,3 726,252,388,202,0,1,113,-324,-30,-564,7 386,6 822,7 386
6:00,3 063,3 914,283,417,248,415,34,105,-128,0,-591,8 352,7 761,8 352
7:00,3 064,4 042,259,436,270,728,144,107,-121,0,-609,8 929,8 320,8 929
8:00,3 059,4 043,260,447,286,722,319,142,-151,0,-611,9 126,8 515,9 126
9:00,3 063,3 826,278,420,270,613,495,173,122,0,-589,9 259,8 670,9 259
10:00,3 065,3 704,271,400,277,29,653,188,698,0,-570,9 285,8 715,9 285
11:00,3 061,3 936,272,392,265,0,664,176,595,0,-591,9 362,8 771,9 362
12:00,3 067,3 736,273,409,216,0,710,201,749,0,-574,9 361,8 788,9 361
13:00,3 080,3 763,281,409,218,0,718,176,650,0,-577,9 294,8 716,9 294
14:00,3 081,3 851,283,426,214,0,597,178,337,0,-586,8 965,8 379,8 965
15:00,3 074,3 868,283,427,192,0,510,206,422,0,-587,8 982,8 396,8 982
16:00,3 069,3 901,298,421,191,0,461,192,393,0,-589,8 926,8 337,8 926
17:00,3 072,3 996,290,434,203,0,323,184,384,0,-598,8 885,8 288,8 885
18:00,3 075,3 986,282,451,255,11,182,207,222,0,-597,8 670,8 073,8 670
19:00,3 073,4 049,272,468,284,681,47,183,-411,0,-612,8 646,8 034,8 646
20:00,3 076,4 043,264,468,288,677,4,166,-423,0,-611,8 562,7 951,8 562
21:00,3 080,4 055,271,452,285,391,0,199,-334,0,-608,8 399,7 791,8 399
22:00,3 084,3 968,262,392,273,144,0,183,-285,0,-592,8 022,7 430,8 022
23:00,3 088,3 930,261,384,273,146,0,188,-667,0,-589,7 602,7 014,7 602
Hodina,JE,PE,PPE,PSE,VE,PVE,FVE,VTE,Přeshraniční saldo,Čerpání PVE,TVSe,Zatížení brutto,Zatížení (bez TVSe),Spotřeba brutto
"",[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MWh]
0:00,3 601,3 235,251,380,151,0,0,66,-787,-111,-507,6 785,6 279,6 785
1:00,3 606,2 939,249,381,151,0,0,62,-263,-436,-481,6 689,6 208,6 689
2:00,3 613,2 762,251,380,151,0,0,65,-250,-434,-466,6 538,6 072,6 538
