total years;R;Pn;battery sc./base sc. cost ratio;battery sc. tot. cost;base sc. tot. cost
5;5;1;4533.33;2.24322e+09;4.94828e+07
5;5;2;4533.33;4.48643e+09;9.89656e+07
5;5;4;4533.33;8.97287e+09;1.97931e+08
5;5;8;4533.33;1.79457e+10;3.95862e+08
5;5;16;4533.33;3.58915e+10;7.91725e+08
5;5;32;4533.33;7.17829e+10;1.58345e+09
5;5;64;4533.33;1.43566e+11;3.1669e+09
5;5;128;4533.33;2.87132e+11;6.3338e+09
5;5;256;4533.33;5.74263e+11;1.26676e+10
5;5;512;4533.33;1.14853e+12;2.53352e+10
5;5;1024;4533.33;2.29705e+12;5.06704e+10
5;10;1;2308.31;1.14222e+09;4.94828e+07
5;10;2;2308.31;2.28443e+09;9.89656e+07
5;10;4;2347.34;4.56582e+09;1.94511e+08
5;10;8;2347.34;9.13164e+09;3.89021e+08
5;10;16;2347.34;1.82633e+10;7.78042e+08
5;10;32;2347.34;3.65266e+10;1.55608e+09
5;10;64;2347.34;7.30531e+10;3.11217e+09
5;10;128;2347.34;1.46106e+11;6.22434e+09
5;10;256;2347.34;2.92213e+11;1.24487e+10
5;10;512;2347.34;5.84425e+11;2.48974e+10
5;10;1024;2347.34;1.16885e+12;4.97947e+10
5;15;1;1592.62;7.74455e+08;4.86276e+07
5;15;2;1592.62;1.54891e+09;9.72553e+07
5;15;4;1592.62;3.09782e+09;1.94511e+08
5;15;8;1592.62;6.19564e+09;3.89021e+08
5;15;16;1592.62;1.23913e+10;7.78042e+08
5;15;32;1592.62;2.47826e+10;1.55608e+09
5;15;64;1592.62;4.95651e+10;3.11217e+09
5;15;128;1592.62;9.91303e+10;6.22434e+09
5;15;256;1592.62;1.98261e+11;1.24487e+10
5;15;512;1592.62;3.96521e+11;2.48974e+10
5;15;1024;1592.62;7.93042e+11;4.97947e+10
5;20;1;1215.27;5.90955e+08;4.86276e+07
5;20;2;1215.27;1.18191e+09;9.72553e+07
5;20;4;1215.27;2.36382e+09;1.94511e+08
5;20;8;1215.27;4.72764e+09;3.89021e+08
5;20;16;1215.27;9.45529e+09;7.78042e+08
5;20;32;1215.27;1.89106e+10;1.55608e+09
5;20;64;1215.27;3.78211e+10;3.11217e+09
5;20;128;1215.27;7.56423e+10;6.22434e+09
5;20;256;1215.27;1.51285e+11;1.24487e+10
5;20;512;1215.27;3.02569e+11;2.48974e+10
5;20;1024;1215.27;6.05138e+11;4.97947e+10
5;25;1;988.852;4.80855e+08;4.86276e+07
5;25;2;988.852;9.61711e+08;9.72553e+07
5;25;4;988.852;1.92342e+09;1.94511e+08
5;25;8;988.852;3.84684e+09;3.89021e+08
5;25;16;988.852;7.69369e+09;7.78042e+08
